Date,Rank,Artist,Monthly Listeners (Millions)
December 2019,8,Billie Eilish,53.08
December 2019,9,Maroon 5,51.03
December 2019,10,Mariah Carey,48.76
January 2020,1,Ed Sheeran,62.96
January 2020,2,Justin Bieber,60.92
January 2020,3,Camila Cabello,58.25
January 2020,4,J Balvin,56.93
January 2020,5,Post Malone,56.75
January 2020,6,Billie Eilish,55.65
January 2020,7,Khalid,54.58
January 2020,8,Maroon 5,51.01
January 2020,9,Drake,50.65
January 2020,10,Nicki Minaj,47.49
February 2020,1,Justin Bieber,66
February 2020,2,Billie Eilish,60.96
February 2020,3,Ed Sheeran,60.89
February 2020,4,Camila Cabello,55.71
February 2020,5,J Balvin,55.58
February 2020,6,Khalid,55.31
February 2020,7,The Weeknd,53.77
February 2020,8,Post Malone,53.77
February 2020,9,Dua Lipa,52.2
February 2020,10,Drake,52.11
March 2020,1,Justin Bieber,61.9
March 2020,2,The Weeknd,61.87
March 2020,3,Ed Sheeran,57.06
March 2020,4,Dua Lipa,55.85
March 2020,5,J Balvin,55.72
March 2020,6,Billie Eilish,53.62
March 2020,7,Khalid,52.43
March 2020,8,Post Malone,51.45
March 2020,9,Camila Cabello,50.33
March 2020,10,Drake,47.46
April 2020,1,The Weeknd,63.77
April 2020,2,Dua Lipa,60.38
April 2020,3,Drake,57.96
April 2020,4,Justin Bieber,57.78
April 2020,5,Ed Sheeran,54.71
April 2020,6,J Balvin,52.99
April 2020,7,Khalid,50.91
April 2020,8,Post Malone,48.97
April 2020,9,Billie Eilish,47.94
April 2020,10,Camila Cabello,46.41
May 2020,1,Drake,61.85
May 2020,2,The Weeknd,60.91
May 2020,3,Justin Bieber,60.56
May 2020,4,Dua Lipa,57.3
May 2020,5,Ariana Grande,53.82
May 2020,6,Ed Sheeran,53.36
May 2020,7,Travis Scott,50.48
May 2020,8,J Balvin,50.31
May 2020,9,Khalid,49.98
May 2020,10,Nicki Minaj,49.59
June 2020,1,The Weeknd,60.53
June 2020,2,Drake,58.85
June 2020,3,Ariana Grande,57.93
June 2020,4,Justin Bieber,57.31
June 2020,5,Dua Lipa,55.94
June 2020,6,Lady Gaga,53.97
June 2020,7,Ed Sheeran,53.04
June 2020,8,Travis Scott,52.45
June 2020,9,Nicki Minaj,50.06
June 2020,10,Post Malone,49.59
July 2020,1,The Weeknd,59.97
July 2020,2,Drake,59.62
July 2020,3,Dua Lipa,56.75
July 2020,4,Ariana Grande,56.15
July 2020,5,Justin Bieber,55.25
July 2020,6,J Balvin,53.39
July 2020,7,Ed Sheeran,53.31
July 2020,8,Lady Gaga,50.83
July 2020,9,Marshmello,50.59
July 2020,10,Halsey,49.81
August 2020,1,The Weeknd,65.53
August 2020,2,Drake,61.7
August 2020,3,Dua Lipa,60
August 2020,4,J Balvin,59.16
August 2020,5,Ariana Grande,53.1
August 2020,6,Justin Bieber,53.02
August 2020,7,Ed Sheeran,52.57
August 2020,8,Khalid,51.1
August 2020,9,Jason Derulo,49.9
August 2020,10,Billie Eilish,49.78
September 2020,1,The Weeknd,65.05
September 2020,2,Drake,62.07
September 2020,3,J Balvin,56.95
September 2020,4,Justin Bieber,54.95
September 2020,5,Dua Lipa,54.52
September 2020,6,Ed Sheeran,51.44
September 2020,7,Cardi B,51.18
September 2020,8,Ariana Grande,50.76
September 2020,9,Khalid,48.99
September 2020,10,Marshmello,48.79
October 2020,1,Justin Bieber,60.41
October 2020,2,The Weeknd,59.22
October 2020,3,drake,58.45
October 2020,4,Dua Lipa,54.8
October 2020,5,J Balvin,54.15
October 2020,6,Ariana Grande,52.73
October 2020,7,Ed Sheeran,51.91
October 2020,8,Khalid,47.9
October 2020,9,Jason Derulo,47.66
October 2020,10,Marshmello,47.64
November 2020,1,Justin Bieber,69.58
November 2020,2,Ariana Grande,68.37
November 2020,3,The Weeknd,64.47
November 2020,4,J Balvin,59.69
November 2020,5,Dua Lipa,58.91
November 2020,6,Drake,54.03
November 2020,7,Ed Sheeran,50.11
November 2020,8,Bad Bunny,49.63
November 2020,9,Billie Eilish,49.5
November 2020,10,Shawn Mendes,47.69
December 2020,1,Ariana Grande,82.1
December 2020,2,Justin Bieber,78.26
December 2020,3,The Weeknd,65.39
December 2020,4,Dua Lipa,60.57
December 2020,5,Mariah Carey,59.42
December 2020,6,J Balvin,56.61
December 2020,7,Shawn Mendes,54.59
December 2020,8,Ed Sheeran,53.94
December 2020,9,Sia,51.85
December 2020,10,Billie Eilish,51.05
January 2021,1,The Weeknd,66.99
January 2021,2,Justin Bieber,66.14
January 2021,3,Ariana Grande,62.49
January 2021,4,Dua Lipa,62.05
January 2021,5,Ed Sheeran,57.9
January 2021,6,J Balvin,55.12
January 2021,7,Billie Eilish,52.85
January 2021,8,Drake,50.68
January 2021,9,Bad Bunny,48.78
